mw_L	e	k1_slp1	root_iast	verb_type	classes	whitney_anchor	westergaard
75683	1	Cad	chad	root	1		
75687	1	Cand	chand	root			
75688	1	Cand	chand	root			
75694	1	Cam	cham	root	1		
75700	1	Camp	champ	root	10		
75712	1	Cal	chal	genuineroot	10P		
75749	1	Caz	chaṣ	root	1P,1Ā		
75907	1	Cid	chid	genuineroot	7,9Ā	Cid,50	
76066	1	Cuw	chuṭ	root	6,10		
76073	1	Cuq	chuḍ	root	6		
76078	1	Cup	chup	root	6		1
76084	1	Cur	chur	root	6	Cur,51	1
76102	1	Cfd	chṛd	genuineroot	7P,7Ā,1Ā	Cfd,51	1
76123	1	Cfp	chṛp	root	1,10		
76143	1	Co	cho	root	4	CA,50	
76153	1	Cyu	chyu	root	1Ā		1
76176	1	jaMs	jaṃs	root	1,10		1
76177	1	jaMh	jaṃh	root	0		
76186	1	jakz	jakṣ	root	0	jakz2,51	
76187	1	jakz	jakṣ	genuineroot	2Ā	jakz1,51	
76462	1	jaNkz	jaṅkṣ	root	1P		
76500	1	jaj	jaj	root	1P		1
76514	1	jaYj	jañj	root	1P	jaYj,51	1
76518	1	jaw	jaṭ	root	1P		1
76735	1	jan	jan	genuineroot	1,10Ā,10P,3Ā,10,4,2Ā,1Ā	jan,52	1
77153	1	jap	jap	genuineroot	1Ā	jap,52	
77183	1	jaB	jabh	root	1	jamB,53	1
77248	1	jaB	jabh	root	1Ā		1
77252	1	jam	jam	root	1	jam,52	1
77741	1	jarc	jarc	root	1		1
77742	1	jarC	jarch	root	1		
77743	1	jarj	jarj	root	1		
77746	1	jarJ	jarjh	root	1		
77754	1	jarts	jarts	root	1		1
77760	1	jal	jal	root	1,10		1
78292	1	jalp	jalp	root	1Ā	jalp,53	
78360	1	jaz	jaṣ	root	1P,1Ā		
78362	1	jas	jas	root	1Ā,1P,4P	jas,53	1
78427	1	jAgf	jāgṛ	genuineroot	2,1Ā	gf3,39	
79180	1	ji	ji	genuineroot	1Ā,9Ā	ji1,53	
79399	1	jinv	jinv	genuineroot	1P,1Ā	ji2,54	
79401	1	jim	jim	root	1		
79408	1	jiri	jiri	root	5P		1
79415	1	jiz	jiṣ	root	1		
79622	1	jIv	jīv	genuineroot	1Ā	jIv,54	
79968	1	ju	ju	root	0		
79988	1	juNg	juṅg	root	1		1
79993	1	juYc	juñc	root	1,10P		
79994	1	juw	juṭ	root	6		
79997	1	juq	juḍ	root	6,10		1
79999	1	jut	jut	root	1		1
80000	1	jun	jun	root	6		
80005	1	jur	jur	genuineroot	4,6P,6Ā	jf1,55	1
80015	1	jul	jul	root	10		
80017	1	juz	juṣ	genuineroot	6Ā,6P,3P,1P,1Ā	juz,54	1
80068	1	jU	jū	root	1Ā,9P,1P	jU,55	1
80097	1	jUr	jūr	root	4Ā		
80098	1	jUr	jūr	root	4Ā		
80115	1	jUrv	jūrv	root	1P	jUrv,55	
80116	1	jUz	jūṣ	root	1P		
80119	1	jf	jṛ	root	1P	jf1,55	
80120	1	jf	jṛ	genuineroot	1Ā		
80122	1	jfmB	jṛmbh	root	1Ā,1P	jfmB,56	
80153	1	jF	jṝ	genuineroot	1P,4P,4Ā,1Ā,9,10Ā		1
80154	1	jF	jṝ	root	1Ā	jf2,55	
80184	1	jez	jeṣ	root	1Ā		
80186	1	jeh	jeh	root	1Ā	jeh,56	
80188	1	jE	jai	root	1		1
80318	1	jYA	jñā	genuineroot	9P,9Ā,3Ā,3P	jYA1,56	
80523	1	jyA	jyā	genuineroot	9P,4Ā	jyA,56	1
80661	1	jyu	jyu	root	1Ā		
80662	1	jyut	jyut	root	1Ā,1P	jyut,57	1
80838	1	jyo	jyo	root	1Ā		1
80851	1	jri	jri	root	1P	jri,57	1
80856	1	jri	jri	root	1,9,10		
80857	1	jvar	jvar	genuineroot	1	jvar,57	
80890	1	jval	jval	genuineroot	1P,1Ā	jval,57	
80979	1	Jaw	jhaṭ	root	1	Jaw,57	1
80982	1	JaR	jhaṇ	root	1	JaR,58	
80998	1	Jam	jham	root	1P		
81017	1	Jarc	jharc	root	1		1
81017.1	1	JarC	jharch	root	1		
81017.2	1	JarJ	jharjh	root	1		
81059	1	Jaz	jhaṣ	root	1Ā		1
81139	1	Ju	jhu	root	1Ā		
81146	1	JUz	jhūṣ	root	1P		
81147	1	JF	jhṝ	root	4,9		
81151	1	Jyu	jhyu	root	1Ā		
81181	1	waNk	ṭaṅk	root	10	waNk,58	
81222	1	wal	ṭal	root	1P	wal,58	1
81238	1	wik	ṭik	root	1Ā		
81258	1	wip	ṭip	root	10P		
81264	1	wIk	ṭīk	root	1Ā,1P	wIk,58	
81299	1	wOk	ṭauk	root	1Ā		
81301	1	wval	ṭval	root	1P		1
81339	1	qap	ḍap	root	10Ā		1
